2023-16-04/25/23 14:16:08 | 52.159.127.243 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:08 | 172.20.10.46 -> 52.159.127.243 | Protocol: 6
2023-16-04/25/23 14:16:08 | 52.159.127.243 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:08 | 172.20.10.46 -> 52.159.127.243 | Protocol: 6
2023-16-04/25/23 14:16:08 | 52.159.127.243 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:08 | 172.20.10.46 -> 52.159.127.243 | Protocol: 6
2023-16-04/25/23 14:16:09 | 52.159.127.243 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:09 | 52.159.127.243 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:09 | 172.20.10.46 -> 52.159.127.243 | Protocol: 6
2023-16-04/25/23 14:16:09 | 52.159.127.243 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:09 | 172.20.10.46 -> 52.159.127.243 | Protocol: 6
2023-04-25 14:21:52 | 172.20.10.46 -> 10.9.0.1 | Protocol: 6
2023-04-25 14:21:56 | 172.20.10.46 -> 10.9.0.1 | Protocol: 6
2023-04-25 14:21:56 | 12.55.54.125 -> 172.20.10.46 | Protocol: 1
2023-04-25 14:21:58 | 172.20.10.46 -> 34.120.4.185 | Protocol: 17
2023-04-25 14:21:58 | 34.120.4.185 -> 172.20.10.46 | Protocol: 17
2023-04-25 14:21:59 | 172.20.10.46 -> 35.174.127.31 | Protocol: 6
2023-04-25 14:21:59 | 35.174.127.31 -> 172.20.10.46 | Protocol: 6
2023-04-25 14:21:59 | 172.20.10.46 -> 35.174.127.31 | Protocol: 6
2023-04-25 14:22:00 | 172.20.10.46 -> 44.238.139.201 | Protocol: 6
2023-04-25 14:22:00 | 172.20.10.46 -> 44.238.139.201 | Protocol: 6
2023-04-25 14:22:00 | 172.20.10.46 -> 44.237.156.51 | Protocol: 6
2023-04-25 14:22:00 | 172.20.10.46 -> 44.237.156.51 | Protocol: 6
2023-04-25 14:22:00 | 172.20.10.46 -> 4.2.2.1 | Protocol: 17
2023-04-25 14:22:00 | 172.20.10.46 -> 10.9.0.1 | Protocol: 6
2023-04-25 14:22:00 | 4.2.2.1 -> 172.20.10.46 | Protocol: 17
2023-04-25 14:22:00 | 172.20.10.46 -> 54.188.208.209 | Protocol: 6
2023-04-25 14:22:00 | 12.55.54.125 -> 172.20.10.46 | Protocol: 1
2023-04-25 14:22:01 | 44.238.139.201 -> 172.20.10.46 | Protocol: 6
2023-04-25 14:22:01 | 172.20.10.46 -> 44.238.139.201 | Protocol: 6
2023-04-25 14:22:01 | 44.238.139.201 -> 172.20.10.46 | Protocol: 6
2023-04-25 14:22:01 | 172.20.10.46 -> 44.238.139.201 | Protocol: 6
2023-04-25 14:22:01 | 44.237.156.51 -> 172.20.10.46 | Protocol: 6
2023-04-25 14:22:01 | 172.20.10.46 -> 44.237.156.51 | Protocol: 6
2023-04-25 14:22:01 | 44.237.156.51 -> 172.20.10.46 | Protocol: 6
2023-04-25 14:22:01 | 172.20.10.46 -> 44.237.156.51 | Protocol: 6
2023-04-25 14:22:01 | 54.188.208.209 -> 172.20.10.46 | Protocol: 6
2023-04-25 14:22:01 | 172.20.10.46 -> 54.188.208.209 | Protocol: 6
2023-04-25 14:22:01 | 172.20.10.46 -> 54.188.208.209 | Protocol: 6
2023-04-25 14:22:01 | 54.188.208.209 -> 172.20.10.46 | Protocol: 6
2023-04-25 14:22:01 | 54.188.208.209 -> 172.20.10.46 | Protocol: 6
2023-04-25 14:22:01 | 172.20.10.46 -> 54.188.208.209 | Protocol: 6
2023-04-25 14:22:01 | 172.20.10.46 -> 54.188.208.209 | Protocol: 6
2023-04-25 14:22:01 | 172.20.10.46 -> 54.188.208.209 | Protocol: 6
